 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 19:30:34 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
Adder_PIPE_III[22]             1.255    0.209    0.0570      0.0433  
Adder_PIPE_III[23]             1.255    0.208    0.0570      0.0433  
Adder_PIPE_III[21]             1.255    0.208    0.0570      0.0432  
Adder_PIPE_III[27]             1.255    0.209    0.0569      0.0432  
Adder_PIPE_III[28]             1.255    0.209    0.0569      0.0432  
Adder_PIPE_III[25]             1.255    0.209    0.0566      0.0430  
Adder_PIPE_III[1]              1.255    0.208    0.0559      0.0425  
Adder_PIPE_III[31]             1.255    0.209    0.0558      0.0423  
PIPE_I_current_PC[6]           4.697    0.077    0.0149      0.0423  
PIPE_IV_next_PC[6]             5.951    0.062    0.0116      0.0419  
PIPE_III_RegWrite              5.541    0.017    0.0118      0.0397  
ALUResult_PIPE_IV[18]          9.165    0.013    0.0071      0.0396  
PIPE_II_ALUOp[1]               9.809    0.010    0.0066      0.0392  
ALUResult_PIPE_IV[29]          9.189    0.012    0.0070      0.0388  
ALUResult_PIPE_IV[16]          9.150    0.013    0.0070      0.0386  
PIPE_II_current_PC[5]          1.857    0.134    0.0340      0.0382  
ALUResult_PIPE_IV[12]          9.150    0.013    0.0069      0.0381  
ALUResult_PIPE_IV[13]          9.150    0.013    0.0069      0.0381  
ALUResult_PIPE_IV[26]          9.150    0.012    0.0067      0.0371  
Hazard_Control_PC_ID_IF       23.815    0.997    0.0025      0.0361  
ALUResult_PIPE_IV[15]          9.150    0.012    0.0065      0.0360  
ALUResult_PIPE_IV[27]          9.150    0.012    0.0065      0.0358  
ALUResult_PIPE_IV[22]          9.150    0.012    0.0064      0.0357  
ALUResult_PIPE_IV[17]          9.150    0.012    0.0064      0.0355  
ALUResult_PIPE_IV[28]          9.150    0.012    0.0064      0.0355  
ALUResult_PIPE_IV[20]          9.150    0.012    0.0064      0.0353  
IF_next_PC_PIPE_I[6]           3.280    0.094    0.0177      0.0351  
ALUResult_PIPE_IV[21]          9.150    0.012    0.0063      0.0347  
ALUResult_PIPE_IV[31]          9.150    0.012    0.0063      0.0347  
ALUResult_PIPE_IV[19]          9.150    0.013    0.0063      0.0346  
ALUResult_PIPE_IV[30]          9.189    0.012    0.0062      0.0343  
ALUResult_PIPE_IV[24]          9.150    0.012    0.0062      0.0341  
ALUResult_PIPE_IV[25]          9.150    0.012    0.0061      0.0339  
ALUResult_PIPE_IV[23]          9.150    0.011    0.0060      0.0334  
ALUResult_PIPE_IV[14]          9.150    0.012    0.0060      0.0331  
ALUResult_PIPE_IV[2]           9.150    0.010    0.0058      0.0323  
ALUResult_PIPE_IV[3]           9.150    0.010    0.0056      0.0312  
PIPE_I_next_PC[5]              1.255    0.162    0.0408      0.0310  
PIPE_II_next_PC[5]             1.255    0.147    0.0377      0.0286  
RISC_V_add_instruction_memory[7]
                               9.296    0.025    0.0050      0.0279  
ALUResult_PIPE_IV[4]           9.150    0.010    0.0050      0.0278  
PIPE_II_ALUOp[0]               6.842    0.007    0.0066      0.0274  
ALUResult_PIPE_IV[11]          9.150    0.010    0.0047      0.0260  
ALUResult_PIPE_IV[1]           9.231    0.009    0.0046      0.0259  
